User ID,Comment Tag,Comment,Comment Translated by Google Translate,Comment Translated by Team Members
384,Arts - investment,"California is a magnet for artists; however, there is almost no state funding available to support public works of art. California should make greater efforts to support the arts.","California es un imán para los artistas; Sin embargo, casi no hay fondos estatales disponibles para apoyar obras de arte público. California debe hacer mayores esfuerzos para apoyar las artes.","California es un lugar atractivo para los artistas; sin embargo, casi no existen fondos estatales para apoyar trabajos artísticos públicos. California debería hacer mayores esfuerzos en apoyar las artes."
1673,"Childcare - Affordable, licensed childcare","Child care is expensive for most working parents. California should improve its availability of affordable, fully trained, reliable, and licensed child care.","El cuidado de niños es caro para la mayoría de los padres que trabajan. California debería mejorar su disponibilidad de servicios de guardería asequibles, plenamente capacitado, confiable, y con licencia.","El cuidado de niños es costoso para la mayoría de los padres trabajadores. California debería mejorar la disponibilidad de servicios de guarderías que cuenten con licencia, estén plenamente capacitados, sean accesibles y al mismo tiempo confiables."
1224,Community safety - police protection,"Towns like Oakland do not have enough police officers to protect the large community. Thus, the residents of large cities are at risk of more violent crime. California should help large cities keep its residents safe by hiring more police officers.","Ciudades como Oakland no tienen suficientes agentes de policía para proteger a la comunidad general. Por lo tanto, los residentes de las grandes ciudades están en riesgo de delincuencia más violenta. California debería ayudar a las grandes ciudades mantienen sus residentes segura mediante la contratación de más agentes de policía.","Ciudades, como Oakland, no tienen suficientes agentes de policía para proteger a la población. En consecuencia, los residentes de grandes ciudades, como esta, se ven expuestos a actos violentos de delincuencia. California debería ayudar a las grandes ciudades a preservar la seguridad de sus residentes mediante la contratación de más policías."
2261,Death Penalty,"California should repeal the death penalty. It should be used very rarely, if at all, and must not be barbaric.","California debe derogar la pena de muerte. Debe utilizarse muy raramente, si acaso, y no debe ser bárbara.","California debería derogar la pena de muerte. Esta debería utilizarse rara vez, si se diera el caso, y no debe ser violenta."
2011,Diversity,"California is one of the most ethnically and nationally diverse societies on earth. California should continue to promote diversity, social mobility, and economic opportunity for all Californians.","California es una de las diversas sociedades más étnico y nacional en la tierra. California debe seguir promoviendo la diversidad, la movilidad social y las oportunidades económicas para todos los californianos.","California es una de las sociedades más pluralistas del mundo, considerando su diversidad étnica y de nacionalidades. California debería seguir promoviendo la diversidad, la movilidad social y las oportunidades económicas para todos los californianos."
1924,Economy - Business,We need to do more to bring new businesses to California.,Tenemos que hacer más para traer nuevos negocios a California.,Tenemos que esforzarnos más en atraer nuevos negocios a California.
2159,Economy - Business growth,Current legislation can cause businesses to leave California. The law should foster commercial activity to retain businesses within the state.,La legislación actual puede causar a las empresas a salir de California. La ley debe fomentar la actividad comercial para retener negocios dentro del estado.,La legislación actual puede causar la salida de empresas de California. Las leyes deberían fomentar la actividad comercial para retener negocios dentro del estado.
1162,Economy - Employment - training for unemployed,California should provide more affordable job training for unemployed workers.,California debe proporcionar capacitación para el trabajo más asequible para los trabajadores desempleados.,California debería proporcionar capacitación laboral más accesible a trabajadores desempleados.
1975,Economy - local revenue,"Local communities should be able to raise revenue for local concerns, such as the police department and schools, without being withheld by the almost impossible two-thirds, supermajority vote threshold.","Las comunidades locales deben ser capaces de obtener ingresos para las preocupaciones locales, tales como el departamento de policía y escuelas, sin ser retenido por el dos tercios casi imposible, el umbral de mayoría calificada.","Las comunidades locales debería poder generar ingresos para cubrir necesidades de interés general, como el departamento de policía y escuelas, sin que el dos tercios de estos les sean retenidos."
1308,Economy - Pension funding,"The unfunded state employee pension liability is nearly $80 billion. Until properly funded, the large liability threatens state employee retirees and our credit rating. California should improve its management of pensions for state employees.","El estado pasivo de pensiones de los empleados de reparto es de casi $ 80 mil millones. Hasta financiado adecuadamente, la gran responsabilidad amenaza jubilados de empleados estatales y de nuestra calificación crediticia. California debería mejorar su gestión de las pensiones para los empleados estatales.","El pasivo de las obligaciones pensionales para los empleados estatales asciende a casi $80 billones. Hasta no financiarlo adecuadamente, este gran pasivo amenaza a jubilados estatales así como también nuestra calificación crediticia. California debería mejorar su manejo de pensiones para empleados estatales."
